,name,movie_title,release_date,budget,revenue,return
32,Eric Goldberg,Pocahontas,1995-06-14,55000000.0,346079773.0,6.29
33,Bryan Singer,The Usual Suspects,1995-07-19,6000000.0,23341568.0,3.89
34,Woody Allen,Mighty Aphrodite,1995-09-13,15000000.0,6700000.0,0.45
35,Kevin Costner,The Postman,1997-12-25,80000000.0,17626234.0,0.22
36,F. Gary Gray,Friday,1995-04-26,3500000.0,28215918.0,8.06
37,Robert Rodriguez,From Dusk Till Dawn,1996-01-19,19000000.0,25836616.0,1.36
38,Andrew Sipes,Fair Game,1995-11-03,50000000.0,11534477.0,0.23
39,,Fair Game,2010-05-20,22000000.0,24188922.0,1.1
40,Steve Miner,Big Bully,1996-01-26,15000000.0,2042530.0,0.14
41,Christian Duguay,Screamers,1995-09-08,20000000.0,5781885.0,0.29
42,Gary Fleder,Things to Do in Denver When You're Dead,1995-12-01,8000000.0,529766.0,0.07
43,Ridley Scott,White Squall,1996-02-02,38000000.0,10300000.0,0.27
44,John Badham,Nick of Time,1995-11-22,8169363.0,8175346.0,1.0
45,Stephen Frears,Mary Reilly,1996-02-23,47000000.0,12379402.0,0.26
46,Wes Craven,Vampire in Brooklyn,1995-10-26,14000000.0,19800000.0,1.41
47,John Woo,Broken Arrow,1996-02-09,50000000.0,150270147.0,3.01
48,Wes Anderson,Bottle Rocket,1996-02-21,7000000.0,560069.0,0.08
49,,Unforgettable,2017-04-20,12000000.0,17768012.0,1.48
50,Dennis Dugan,Happy Gilmore,1996-02-16,12000000.0,41205099.0,3.43
51,Clint Eastwood,The Bridges of Madison County,1995-05-28,24000000.0,182016617.0,7.58
52,Mel Gibson,Braveheart,1995-05-24,72000000.0,210000000.0,2.92
53,Martin Scorsese,Taxi Driver,1976-02-07,1300000.0,28262574.0,21.74
54,Stanley Tong,Rumble in the Bronx,1995-01-30,7500000.0,32392047.0,4.32
55,Andrew Davis,Steal Big Steal Little,1995-09-29,25000000.0,6278139.0,0.25
56,Reginald Hudlin,Boomerang,1992-06-30,40000000.0,70100000.0,1.75
57,David O. Russell,Flirting with Disaster,1996-03-22,7000000.0,14702438.0,2.1
58,William Friedkin,Jade,1995-10-13,50000000.0,9851610.0,0.2
59,,Man of the Year,2006-10-09,20000000.0,41237648.0,2.06
60,Mike Nichols,The Birdcage,1996-03-08,31000000.0,185260553.0,5.98
61,Michael Bay,Bad Boys,1995-04-07,19000000.0,141407024.0,7.44
62,Mike Newell,An Awfully Big Adventure,1995-07-21,4000000.0,851545.0,0.21
63,Ron Howard,Apollo 13,1995-06-30,52000000.0,355237933.0,6.83
64,Michael Caton-Jones,Rob Roy,1995-04-13,28000000.0,31596911.0,1.13
65,Joel Schumacher,Batman Forever,1995-06-16,100000000.0,336529144.0,3.37
66,Paul Auster,Blue in the Face,1995-09-15,2000000.0,1275000.0,0.64
67,Wayne Wang,Blue in the Face,1995-09-15,2000000.0,1275000.0,0.64
68,Michael Moore,Canadian Bacon,1995-06-08,11000000.0,178104.0,0.02
69,Brad Silberling,Casper,1995-05-26,50000000.0,287928194.0,5.76
70,Spike Lee,Clockers,1995-09-15,25000000.0,13071518.0,0.52
71,Frank Marshall,Congo,1995-06-09,50000000.0,152022101.0,3.04
72,Tony Scott,Crimson Tide,1995-05-12,53000000.0,157387195.0,2.97
73,Robert Rodriguez,Desperado,1995-08-25,7000000.0,25405445.0,3.63
74,Carl Franklin,Devil in a Blue Dress,1995-09-15,27000000.0,16140822.0,0.6
75,John McTiernan,Die Hard: With a Vengeance,1995-05-19,90000000.0,366101666.0,4.07
76,Jerry Zucker,First Knight,1995-07-07,55000000.0,127600435.0,2.32
77,Iain Softley,Hackers,1995-09-14,20000000.0,7563728.0,0.38
78,Robert Longo,Johnny Mnemonic,1995-05-26,25000000.0,19075720.0,0.76
79,Danny Cannon,Judge Dredd,1995-06-30,90000000.0,113493481.0,1.26
80,Larry Clark,Kids,1995-07-28,1500000.0,7412216.0,4.94
81,Tom DiCillo,Living in Oblivion,1995-01-20,500000.0,1148752.0,2.3
82,Kevin Smith,Mallrats,1995-10-20,6000000.0,2122561.0,0.35
83,Bryan Spicer,Mighty Morphin Power Rangers: The Movie,1995-06-30,15000000.0,66000000.0,4.4
84,Anthony Waller,Mute Witness,1995-09-28,2.0,1.0,0.5
85,Irwin Winkler,The Net,1995-07-28,22000000.0,110627965.0,5.03
86,Daisy von Scherler Mayer,Party Girl,1995-06-09,150000.0,472370.0,3.15
87,Gregory Widen,The Prophecy,1995-09-01,8.0,16.0,2.0
88,,Safe,2012-04-16,30000000.0,40346186.0,1.34
89,Roland Joffé,The Scarlet Letter,1995-10-13,50000000.0,10382407.0,0.21
90,Paul Verhoeven,Showgirls,1995-09-22,45000000.0,20350754.0,0.45
91,Wayne Wang,Smoke,1995-06-09,7000000.0,8349430.0,1.19
92,Paul Auster,Smoke,1995-06-09,7000000.0,8349430.0,1.19
93,Roger Donaldson,Species,1995-07-07,35000000.0,113374103.0,3.24
94,Kathryn Bigelow,Strange Days,1995-10-13,42000000.0,7959291.0,0.19
95,Wesley Strick,The Tie That Binds,1995-09-08,14000000.0,5780000.0,0.41
96,Geoff Murphy,Under Siege 2: Dark Territory,1995-07-13,60000000.0,104324083.0,1.74
97,Alfonso Aráu,A Walk in the Clouds,1995-08-11,20000000.0,50012507.0,2.5
98,Kevin Reynolds,Waterworld,1995-07-28,175000000.0,264218220.0,1.51
99,Nikita Mikhalkov,Burnt by the Sun,1994-05-01,2800000.0,2616503.0,0.93
100,Richard Linklater,Before Sunrise,1995-01-27,2500000.0,5535405.0,2.21
101,Tamra Davis,Billy Madison,1995-02-10,10000000.0,26488734.0,2.65
102,Herbert Ross,Boys on the Side,1995-02-03,21000000.0,23450000.0,1.12
103,Kevin Smith,Clerks,1994-09-13,27000.0,3151130.0,116.71
104,Jeremy Leven,Don Juan DeMarco,1994-10-01,25000000.0,22200000.0,0.89
105,Barry Levinson,Disclosure,1994-12-09,55000000.0,214015089.0,3.89
106,Peter Farrelly,Dumb and Dumber,1994-12-16,16000000.0,247275374.0,15.45
107,Bobby Farrelly,Dumb and Dumber,1994-12-16,16000000.0,247275374.0,15.45
108,Tim Burton,Ed Wood,1994-09-27,18000000.0,5887457.0,0.33
109,Brett Leonard,Hideaway,1995-03-03,15000000.0,12201255.0,0.81
110,Steve James,Hoop Dreams,1994-09-12,700000.0,7830611.0,11.19
111,Peter Jackson,Heavenly Creatures,1994-09-02,5000000.0,3049135.0,0.61
112,Randall Miller,Houseguest,1995-01-06,10500000.0,26325256.0,2.51
113,,The Hunted,2003-03-11,55000000.0,34234008.0,0.62
114,Neil Jordan,Interview with the Vampire,1994-11-11,60000000.0,223664608.0,3.73
115,James Ivory,Jefferson in Paris,1995-03-31,14000000.0,2474000.0,0.18
116,Ivan Reitman,Junior,1994-11-22,60000000.0,37000000.0,0.62
117,George Lucas,Star Wars,1977-05-25,11000000.0,775398007.0,70.49
118,Alfonso Aráu,Like Water for Chocolate,1992-04-16,2000000.0,21665468.0,10.83
119,Edward Zwick,Legends of the Fall,1994-12-16,30000000.0,160638883.0,5.35
120,Stephen Gyllenhaal,Losing Isaiah,1995-03-17,17000000.0,7603766.0,0.45
121,Kenneth Branagh,Mary Shelley's Frankenstein,1994-11-04,45000000.0,112006296.0,2.49
122,David Frankel,Miami Rhapsody,1995-01-27,6.0,5.0,0.83
123,Michael Apted,Nell,1994-12-23,31000000.0,106683817.0,3.44
124,Oliver Stone,Natural Born Killers,1994-08-25,34000000.0,50282766.0,1.48
125,Wolfgang Petersen,Outbreak,1995-03-10,50000000.0,189859560.0,3.8
126,Luc Besson,Leon: The Professional,1994-09-14,16000000.0,45284974.0,2.83
127,Mira Nair,The Perez Family,1995-05-12,11000000.0,2832826.0,0.26
128,Quentin Tarantino,Pulp Fiction,1994-09-10,8000000.0,213928762.0,26.74
129,Ang Lee,Pushing Hands,1992-02-01,400000.0,152322.0,0.38
130,,Priest,2011-05-05,60000000.0,78309131.0,1.31
131,Sam Raimi,The Quick and the Dead,1995-02-09,32000000.0,18552460.0,0.58
132,Peter Yates,Roommates,1995-03-01,22000000.0,12400000.0,0.56
133,Robert Altman,Prêt-à-Porter,1994-12-23,15000000.0,11300653.0,0.75
134,Richard Rich,The Swan Princess,1994-11-18,35000000.0,9771658.0,0.28
135,Luis Llosa,The Specialist,1994-10-07,45000000.0,170362582.0,3.79
136,Roland Emmerich,Stargate,1994-10-27,55000000.0,196567262.0,3.57
137,John Pasquin,The Santa Clause,1994-11-10,22000000.0,189833357.0,8.63
138,Frank Darabont,The Shawshank Redemption,1994-09-23,25000000.0,28341469.0,1.13
139,Rachel Talalay,Tank Girl,1995-03-31,25000000.0,4064495.0,0.16
140,David Carson,Star Trek: Generations,1994-11-17,38000000.0,120000000.0,3.16
141,Rusty Cundieff,Tales from the Hood,1995-05-24,6000000.0,12000000.0,2.0
142,Lasse Hallström,What's Eating Gilbert Grape,1993-12-17,11000000.0,10032765.0,0.91
143,Brett Leonard,Virtuosity,1995-08-04,30000000.0,24048000.0,0.8
144,Jon Turteltaub,While You Were Sleeping,1995-04-21,17000000.0,182057016.0,10.71
145,P.J. Hogan,Muriel's Wedding,1994-09-29,3000000.0,15119639.0,5.04
146,Tom Shadyac,Ace Ventura: Pet Detective,1994-02-04,15000000.0,107217396.0,7.15
147,Roman Polanski,Bitter Moon,1992-09-02,5000000.0,1862805.0,0.37
148,Phillip Noyce,Clear and Present Danger,1994-08-03,62000000.0,215887717.0,3.48
149,Joel Schumacher,The Client,1994-07-20,45000000.0,117615211.0,2.61
150,Alex Proyas,The Crow,1994-05-11,15000000.0,94000000.0,6.27
151,Brian Levant,The Flintstones,1994-05-26,46000000.0,341631208.0,7.43
152,Robert Zemeckis,Forrest Gump,1994-07-06,55000000.0,677945399.0,12.33
153,Mike Newell,Four Weddings and a Funeral,1994-03-09,6000000.0,254700832.0,42.45
154,Charles Shyer,I Love Trouble,1994-06-29,45000000.0,61947267.0,1.38
155,Wolfgang Reitherman,The Jungle Book,1967-10-17,4000000.0,205843612.0,51.46
156,,The Jungle Book,2016-04-07,175000000.0,966550600.0,5.52
157,Roger Allers,The Lion King,1994-06-23,45000000.0,788241776.0,17.52
158,Rob Minkoff,The Lion King,1994-06-23,45000000.0,788241776.0,17.52
159,Bernardo Bertolucci,Little Buddha,1993-12-01,35000000.0,4858139.0,0.14
160,Wes Craven,New Nightmare,1994-10-13,14000000.0,18090181.0,1.29
161,Chuck Russell,The Mask,1994-07-29,23000000.0,351583407.0,15.29
162,Peter Segal,The Naked Gun 33⅓: The Final Insult,1994-03-18,30000000.0,51132598.0,1.7
163,Ben Stiller,Reality Bites,1994-02-18,11500000.0,20079850.0,1.75
164,John Dahl,Red Rock West,1993-07-08,8000000.0,2000000.0,0.25
165,Jan de Bont,Speed,1994-06-09,30000000.0,350448145.0,11.68
166,Peter Hyams,Timecop,1994-09-15,27000000.0,101646581.0,3.76
167,James Cameron,True Lies,1994-07-14,115000000.0,378882411.0,3.29
168,Lawrence Kasdan,Wyatt Earp,1994-06-24,63000000.0,25052000.0,0.4
169,,Bad Company,2002-06-07,70000000.0,65977295.0,0.94
170,Keenen Ivory Wayans,A Low Down Dirty Shame,1994-11-23,10000000.0,29392418.0,2.94
171,Doug McHenry,Jason's Lyric,1994-09-28,7000000.0,20851521.0,2.98
172,Steven E. de Souza,Street Fighter,1994-12-22,35000000.0,99423521.0,2.84
173,,Open Season,2006-09-29,85000000.0,197309027.0,2.32
174,Andrew Morahan,Highlander: The Final Dimension,1994-11-29,26000000.0,36800000.0,1.42
175,John Carpenter,In the Mouth of Madness,1994-12-12,8000000.0,8946600.0,1.12
176,Martin Scorsese,The Age of Innocence,1993-09-17,34000000.0,32255440.0,0.95
177,Paul Michael Glaser,The Air Up There,1994-01-07,17080000.0,21011500.0,1.23
178,John Landis,Beverly Hills Cop III,1994-05-24,50000000.0,119208989.0,2.38
179,Abel Ferrara,Body Snatchers,1993-06-09,13000000.0,428868.0,0.03
180,Robert De Niro,A Bronx Tale,1993-09-14,22000000.0,17287898.0,0.79
181,John Whitesell,Calendar Girl,1993-09-03,13000000.0,2570145.0,0.2
182,Brian De Palma,Carlito's Way,1993-11-10,30000000.0,36516012.0,1.22
183,Renny Harlin,Cliffhanger,1993-05-28,70000000.0,255000211.0,3.64
184,Richard Rush,Color of Night,1994-08-19,40000000.0,19726050.0,0.49
185,Richard Linklater,Dazed and Confused,1993-09-24,6900000.0,7993039.0,1.16
186,Marco Brambilla,Demolition Man,1993-10-08,57000000.0,159055768.0,2.79
187,Barry Sonnenfeld,For Love or Money,1993-10-01,30000000.0,11146270.0,0.37
188,Sydney Pollack,The Firm,1993-06-30,42000000.0,270248367.0,6.43
189,Simon Wincer,Free Willy,1993-07-16,20000000.0,153698625.0,7.68
190,Andrew Davis,The Fugitive,1993-08-06,44000000.0,368875760.0,8.38
191,Walter Hill,Geronimo: An American Legend,1993-12-10,35000000.0,18635620.0,0.53
192,,The Getaway,1972-12-13,3352254.0,58831997.0,17.55
193,John Woo,Hard Target,1993-08-20,18000000.0,74189677.0,4.12
194,Jim Abrahams,Hot Shots! Part Deux,1993-05-21,25000000.0,133752825.0,5.35
195,Wolfgang Petersen,In the Line of Fire,1993-07-08,40000000.0,176997168.0,4.42
196,Jim Sheridan,In the Name of the Father,1993-12-12,13000000.0,65796862.0,5.06
197,Steven Spielberg,Jurassic Park,1993-06-11,63000000.0,920100000.0,14.6
198,Dominic Sena,Kalifornia,1993-09-01,9000000.0,2395231.0,0.27
199,Roger Avary,Killing Zoe,1993-10-01,1500000.0,418961.0,0.28
200,John McTiernan,Last Action Hero,1993-06-18,85000000.0,137298489.0,1.62
201,Woody Allen,Manhattan Murder Mystery,1993-08-18,13500000.0,11285588.0,0.84
202,Albert Hughes,Menace II Society,1993-05-26,3500000.0,27900000.0,7.97
203,Allen Hughes,Menace II Society,1993-05-26,3500000.0,27900000.0,7.97
204,Stuart Baird,Executive Decision,1996-03-15,55000000.0,121969216.0,2.22
205,Chris Columbus,Mrs. Doubtfire,1993-11-24,25000000.0,441286195.0,17.65
206,Christopher Cain,The Next Karate Kid,1994-07-18,12000000.0,15826984.0,1.32
207,Martin Campbell,No Escape,1994-04-29,20000000.0,15340000.0,0.77
208,,No Escape,2015-08-26,5000000.0,54418872.0,10.88
209,Clint Eastwood,A Perfect World,1993-11-24,30000000.0,135130999.0,4.5
210,Jonathan Demme,Philadelphia,1993-12-22,26000000.0,206678440.0,7.95
211,Jane Campion,The Piano,1993-05-19,7000000.0,116700000.0,16.67
212,John Singleton,Poetic Justice,1993-07-23,14000000.0,27515786.0,1.97
213,Ted Demme,The Ref,1994-03-09,11000000.0,11439193.0,1.04
214,James Ivory,The Remains of the Day,1993-11-05,11500000.0,23237911.0,2.02
215,Penny Marshall,Renaissance Man,1994-06-03,40000000.0,24332324.0,0.61
216,Fred Dekker,RoboCop 3,1993-04-17,22000000.0,10696210.0,0.49
217,Mel Brooks,Robin Hood: Men in Tights,1993-07-28,20000000.0,35739755.0,1.79
218,Peter Medak,Romeo Is Bleeding,1993-09-13,11500000.0,3275585.0,0.28
219,Victor Nunez,Ruby in Paradise,1993-10-08,800000.0,1001437.0,1.25
220,David Anspaugh,Rudy,1993-09-17,12000000.0,22750363.0,1.9
221,Steven Spielberg,Schindler's List,1993-11-29,22000000.0,321365567.0,14.61
222,John Waters,Serial Mom,1994-04-13,13000000.0,7820688.0,0.6
223,Russell Mulcahy,The Shadow,1994-07-01,25000000.0,48063435.0,1.92
224,Nora Ephron,Sleepless in Seattle,1993-06-24,21000000.0,227799884.0,10.85
225,Phillip Noyce,Sliver,1993-05-21,40000000.0,116300000.0,2.91
226,Ridley Scott,Blade Runner,1982-06-25,28000000.0,33139618.0,1.18
227,Thomas Schlamme,So I Married an Axe Murderer,1993-07-30,20000000.0,11585483.0,0.58
228,Annabel Jankel,Super Mario Bros.,1993-05-28,48000000.0,20915465.0,0.44
229,Rocky Morton,Super Mario Bros.,1993-05-28,48000000.0,20915465.0,0.44
230,Ernest R. Dickerson,Surviving the Game,1994-04-15,7400000.0,7690013.0,1.04
231,Deran Sarafian,Terminal Velocity,1994-09-23,50000000.0,16478900.0,0.33
232,Henry Selick,The Nightmare Before Christmas,1993-10-09,18000000.0,75634409.0,4.2
233,Stephen Herek,The Three Musketeers,1993-11-11,30000000.0,53898845.0,1.8
234,,The Three Musketeers,2011-08-31,75000000.0,132274484.0,1.76
235,George P. Cosmatos,Tombstone,1993-12-25,25000000.0,56505065.0,2.26
236,Tony Scott,True Romance,1993-09-09,12500000.0,12281551.0,0.98
237,Joe Johnston,The Pagemaster,1994-11-23,27000000.0,13670688.0,0.51
238,Pixote Hunt,The Pagemaster,1994-11-23,27000000.0,13670688.0,0.51
239,Maurice Hunt,The Pagemaster,1994-11-23,27000000.0,13670688.0,0.51
240,Chris Columbus,Home Alone,1990-11-09,18000000.0,476684675.0,26.48
241,Jerry Zucker,Ghost,1990-07-12,22000000.0,505000000.0,22.95
242,Ron Clements,Aladdin,1992-11-25,28000000.0,504050219.0,18.0
243,John Musker,Aladdin,1992-11-25,28000000.0,504050219.0,18.0
244,James Cameron,Terminator 2: Judgment Day,1991-07-01,100000000.0,520000000.0,5.2
245,Kevin Costner,Dances with Wolves,1990-11-09,22000000.0,424208848.0,19.28
246,Tim Burton,Batman,1989-06-23,35000000.0,411348924.0,11.75
247,Jonathan Demme,The Silence of the Lambs,1991-02-01,19000000.0,272742922.0,14.35
248,David Hand,Snow White and the Seven Dwarfs,1937-12-20,1488423.0,184925486.0,124.24
249,Gary Trousdale,Beauty and the Beast,1991-11-13,25000000.0,377350553.0,15.09
250,Kirk Wise,Beauty and the Beast,1991-11-13,25000000.0,377350553.0,15.09
251,,Beauty and the Beast,2014-02-12,33000000.0,49100000.0,1.49
252,,Beauty and the Beast,2017-03-16,160000000.0,1262886337.0,7.89
253,Hamilton Luske,Pinocchio,1940-02-23,2600000.0,84300000.0,32.42
254,Ben Sharpsteen,Pinocchio,1940-02-23,2600000.0,84300000.0,32.42
255,,Pinocchio,2002-12-25,40000000.0,41323171.0,1.03
256,Garry Marshall,Pretty Woman,1990-03-23,14000000.0,463000000.0,33.07
257,Sam Peckinpah,The Wild Bunch,1969-06-17,6244087.0,638641.0,0.1
258,Joel Coen,Fargo,1996-04-05,7000000.0,60611975.0,8.66
259,Kevin Yagher,Hellraiser: Bloodline,1996-03-08,4000000.0,16675000.0,4.17
260,Joe Chappelle,Hellraiser: Bloodline,1996-03-08,4000000.0,16675000.0,4.17
261,Wolfgang Reitherman,The Aristocats,1970-12-23,4000000.0,55675257.0,13.92
262,Gregory Hoblit,Primal Fear,1996-04-03,30000000.0,102616183.0,3.42
263,Spike Lee,Girl 6,1996-03-22,12000000.0,4939939.0,0.41
264,Edward Zwick,Courage Under Fire,1996-07-04,46000000.0,100860818.0,2.19
265,Brian De Palma,Mission: Impossible,1996-05-22,80000000.0,457696359.0,5.72
266,Rob Cohen,DragonHeart,1996-05-31,57000000.0,115267375.0,2.02
267,Henry Selick,James and the Giant Peach,1996-04-12,38000000.0,28921264.0,0.76
268,Paul Mazursky,Faithful,1996-04-03,13000000.0,9789900.0,0.75
269,Joe Pytka,Space Jam,1996-11-15,80000000.0,250200000.0,3.13
270,Roger Vadim,Barbarella,1968-10-10,9000000.0,2500000.0,0.28
271,Richard Benjamin,Mrs. Winterbourne,1996-04-19,25000000.0,10070000.0,0.4
272,Jean-Claude Van Damme,The Quest,1996-04-19,30000000.0,57400547.0,1.91
273,George Scribner,Oliver & Company,1988-11-18,31000000.0,74151346.0,2.39
274,Alan Shapiro,Flipper,1996-05-17,25530000.0,20080020.0,0.79
275,Jean-Paul Rappeneau,The Horseman on the Roof,1995-09-20,35000000.0,15000000.0,0.43
276,Andrew Fleming,The Craft,1996-05-03,15000000.0,24769466.0,1.65
277,Larry Cohen,Original Gangstas,1996-05-10,4800000.0,3014000.0,0.63
278,Michael Bay,The Rock,1996-06-06,75000000.0,335062621.0,4.47
279,Jan de Bont,Twister,1996-05-10,92000000.0,494471524.0,5.37
280,,Honeymoon,2014-09-12,1000000.0,9318.0,0.01
281,,Ghost in the Shell,2017-03-29,110000000.0,169801921.0,1.54
282,David Twohy,The Arrival,1996-05-31,25000000.0,14048372.0,0.56
283,Stanley Kubrick,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964-01-29,1800000.0,9440272.0,5.24
284,,Stalingrad,2013-10-09,30000000.0,68129518.0,2.27
285,Simon Wincer,The Phantom,1996-06-06,45000000.0,17300889.0,0.38
286,Andrew Bergman,Striptease,1996-06-28,50000000.0,113309743.0,2.27
287,Francis Ford Coppola,Jack,1996-08-09,45000000.0,58620973.0,1.3
288,Danny Boyle,Trainspotting,1996-02-23,4000000.0,16491080.0,4.12
289,Roland Emmerich,Independence Day,1996-06-25,75000000.0,816969268.0,10.89
290,Tony Scott,The Fan,1996-08-15,55000000.0,18626419.0,0.34
291,Gary Trousdale,The Hunchback of Notre Dame,1996-06-21,100000000.0,100138851.0,1.0
292,Kirk Wise,The Hunchback of Notre Dame,1996-06-21,100000000.0,100138851.0,1.0
293,Ben Stiller,The Cable Guy,1996-06-10,47000000.0,102825796.0,2.19
294,Bobby Farrelly,Kingpin,1996-07-04,27000000.0,25023434.0,0.93
295,Peter Farrelly,Kingpin,1996-07-04,27000000.0,25023434.0,0.93
296,Chuck Russell,Eraser,1996-06-21,100000000.0,242295562.0,2.42
297,Tom Shadyac,The Nutty Professor,1996-06-26,54000000.0,128769345.0,2.38
298,Rob Cohen,Daylight,1996-12-06,80000000.0,159212469.0,1.99
299,Peter Jackson,The Frighteners,1996-07-18,30000000.0,29359216.0,0.98
300,John Sayles,Lone Star,1996-06-21,5000000.0,13269963.0,2.65
301,Jon Turteltaub,Phenomenon,1996-07-05,32000000.0,152036382.0,4.75
302,Edward Burns,She's the One,1996-08-26,3500000.0,9482579.0,2.71
303,Joel Schumacher,A Time to Kill,1996-07-24,40000000.0,152266007.0,3.81
304,Kevin Hooks,Fled,1996-07-19,25000000.0,17193231.0,0.69
305,John Payson,Joe's Apartment,1996-07-26,13000000.0,4619014.0,0.36
306,Hugh Wilson,The First Wives Club,1996-09-20,26000000.0,116400000.0,4.48
307,,Stonewall,2015-09-18,13500000.0,187674.0,0.01
308,Ron Howard,Ransom,1996-11-08,80000000.0,309492681.0,3.87
309,Andrew Davis,Chain Reaction,1996-08-02,50000000.0,60209334.0,1.2
310,Danny DeVito,Matilda,1996-08-02,36000000.0,33459416.0,0.93
311,Douglas McGrath,Emma,1996-08-02,6000000.0,22231658.0,3.71
312,Tim Pope,The Crow: City of Angels,1996-08-29,13000000.0,17917287.0,1.38
313,Gilbert Adler,Bordello of Blood,1996-08-16,15000000.0,5600000.0,0.37
314,Lee David Zlotoff,The Spitfire Grill,1996-08-23,6000000.0,12643776.0,2.11
315,John Carpenter,Escape from L.A.,1996-08-09,50000000.0,42277365.0,0.85
316,Julian Schnabel,Basquiat,1996-08-09,2962051.0,3011195.0,1.02
317,Ron Shelton,Tin Cup,1996-08-16,45000000.0,53854588.0,1.2
318,Rolf de Heer,Dingo,1991-06-02,200000.0,300000.0,1.5
319,Francis Ford Coppola,The Godfather,1972-03-14,6000000.0,245066411.0,40.84
320,Stanley Tong,Police Story 3: Supercop,1992-07-04,900000.0,20483423.0,22.76
321,Lisa Krueger,Manny & Lo,1996-01-22,500000.0,431326.0,0.86
322,Lana Wachowski,Bound,1996-09-13,4500000.0,7011317.0,1.56
323,Lilly Wachowski,Bound,1996-09-13,4500000.0,7011317.0,1.56
324,Peter Hyams,The Relic,1997-01-10,60000000.0,33956608.0,0.57
325,John Frankenheimer,The Island of Dr. Moreau,1996-08-23,40000000.0,49627779.0,1.24
326,Richard Stanley,The Island of Dr. Moreau,1996-08-23,40000000.0,49627779.0,1.24
327,Ernest R. Dickerson,Bulletproof,1996-09-06,25000000.0,22611954.0,0.9
328,,Bulletproof,1988-04-20,5000000.0,807947.0,0.16
329,Joe Chappelle,Halloween: The Curse of Michael Myers,1995-09-29,5000000.0,15116634.0,3.02
330,Stanley Donen,Singin' in the Rain,1952-04-10,2540800.0,7200000.0,2.83
331,Gene Kelly,Singin' in the Rain,1952-04-10,2540800.0,7200000.0,2.83
332,Vincente Minnelli,An American in Paris,1951-08-08,2723903.0,4500000.0,1.65
333,Blake Edwards,Breakfast at Tiffany's,1961-10-05,2500000.0,9500000.0,3.8
334,Alfred Hitchcock,Vertigo,1958-05-09,2479000.0,28000000.0,11.29
335,Alfred Hitchcock,Rear Window,1954-08-01,1000000.0,36764313.0,36.76
336,Frank Capra,It Happened One Night,1934-02-22,325000.0,4500000.0,13.85
337,Alfred Hitchcock,North by Northwest,1959-07-07,4000000.0,13275000.0,3.32
338,Billy Wilder,The Apartment,1960-06-15,3000000.0,25000000.0,8.33
339,Billy Wilder,Some Like It Hot,1959-03-18,2883848.0,25000000.0,8.67
340,Stanley Donen,Charade,1963-12-05,4000000.0,13474588.0,3.37
